Good?, flags, VID, PID, Name, INIid, REGid, RegEntry, INIguid, REGguid, HIDguid, ValsOK?, ReadsOk?

,,, HIDscanning completed

N, x00, x294B, x1901, , -1, -1, 0, {NULL}, {NULL}, {BF7C36D0-788E-11EB-8001-444553540000}, Y, N
N, x00, x1234, xBEAD, , -1, -1, 0, {NULL}, {NULL}, {170F6D40-6BE2-11EB-8002-444553540000}, Y, N
N, x00, x06A3, x0763, , -1, -1, 0, {NULL}, {NULL}, {CF28C340-7D21-11EB-8001-444553540000}, Y, N
N, x00, x294B, x1900, , -1, -1, 0, {NULL}, {NULL}, {BF7C5DE0-788E-11EB-8002-444553540000}, Y, N

,,, REGscanning completed

N, x00, x294B, x1901, Bravo Throttle Quadrant, -1, 2, 0, {NULL}, {BF7C36D0-788E-11EB-8001-444553540000}, {BF7C36D0-788E-11EB-8001-444553540000}, Y, Y
N, x00, x1234, xBEAD, vJoy Device, -1, 1, 0, {NULL}, {170F6D40-6BE2-11EB-8002-444553540000}, {170F6D40-6BE2-11EB-8002-444553540000}, Y, N
N, x00, x06A3, x0763, Flight Rudder Pedals, -1, 0, 0, {NULL}, {CF28C340-7D21-11EB-8001-444553540000}, {CF28C340-7D21-11EB-8001-444553540000}, Y, Y
N, x00, x294B, x1900, Alpha Flight Controls, -1, 3, 0, {NULL}, {BF7C5DE0-788E-11EB-8002-444553540000}, {BF7C5DE0-788E-11EB-8002-444553540000}, Y, Y

,,, User settings imported

N, x00, x294B, x1901, Bravo Throttle Quadrant, 2, 2, 0, {BF7C36D0-788E-11EB-8001-444553540000}, {BF7C36D0-788E-11EB-8001-444553540000}, {BF7C36D0-788E-11EB-8001-444553540000}, Y, Y
N, x00, x1234, xBEAD, vJoy Device, 1, 1, 0, {170F6D40-6BE2-11EB-8002-444553540000}, {170F6D40-6BE2-11EB-8002-444553540000}, {170F6D40-6BE2-11EB-8002-444553540000}, Y, N
N, x00, x06A3, x0763, Flight Rudder Pedals, 0, 0, 0, {CF28C340-7D21-11EB-8001-444553540000}, {CF28C340-7D21-11EB-8001-444553540000}, {CF28C340-7D21-11EB-8001-444553540000}, Y, Y
N, x00, x294B, x1900, Alpha Flight Controls, 3, 3, 0, {BF7C5DE0-788E-11EB-8002-444553540000}, {BF7C5DE0-788E-11EB-8002-444553540000}, {BF7C5DE0-788E-11EB-8002-444553540000}, Y, Y

,,, Values matched and decided

Y, x1E, x294B, x1901, Bravo Throttle Quadrant, 2, 2, 0, {BF7C36D0-788E-11EB-8001-444553540000}, {BF7C36D0-788E-11EB-8001-444553540000}, {BF7C36D0-788E-11EB-8001-444553540000}, Y, Y
(Y), x16, x1234, xBEAD, vJoy Device, 1, 1, 0, {170F6D40-6BE2-11EB-8002-444553540000}, {170F6D40-6BE2-11EB-8002-444553540000}, {170F6D40-6BE2-11EB-8002-444553540000}, Y, N
Y, x1E, x06A3, x0763, Flight Rudder Pedals, 0, 0, 0, {CF28C340-7D21-11EB-8001-444553540000}, {CF28C340-7D21-11EB-8001-444553540000}, {CF28C340-7D21-11EB-8001-444553540000}, Y, Y
Y, x1E, x294B, x1900, Alpha Flight Controls, 3, 3, 0, {BF7C5DE0-788E-11EB-8002-444553540000}, {BF7C5DE0-788E-11EB-8002-444553540000}, {BF7C5DE0-788E-11EB-8002-444553540000}, Y, Y
