; Star catalog for Microsoft Flight Simulator

; Data source:
; The Bright Star Catalogue,  5th Revised Ed. (Preliminary Version)
;     Hoffleit D., Warren Jr W.H.
;    <Astronomical Data Center, NSSDC/ADC (1991)>

; http://tdc-www.harvard.edu/software/catalogs/bsc5.html
; ftp://cdsarc.u-strasbg.fr/cats/V/50/

[Star Settings]

; intensity of stars without explicit color in Star Locations table
Intensity=230

; number of stars in [Star Locations] table
NumStars=9096

; display constellations: 0=no; 1=yes
Constellations=0

; colorize Polaris (north star): 0=no; 1=yes
ColorizePolaris=0

; colorize the first star of each zodiacal constellation: 0=no; 1=yes
ColorizeZodiac=0

; constellation lines formed by joining stars referenced by FK5 number
[Constellations]

;Big dipper
Constellation.0 = 5191,5054,4905,4660,4554,4295,4301,4660

; Orion's Belt
Constellation.1 = 1852,1903,1948

[Star Locations]
;Star.1234 =     HR,raH,raM,  raS, decD,deM,deS,   mag,             specType,      color,       name
Star.0     =      1, 00, 05, 09.9,  +45, 13, 45,  6.70,                 A1Vn, 0x00E8F8E8,           
Star.1     =      2, 00, 05, 03.8,  -00, 30, 11,  6.29,                  gG9, 0x15E6E6E6,           
Star.2     =      3, 00, 05, 20.1,  -05, 42, 27,  4.61,         K0IIIbCN-0.5, 0x8EFBF5CF,  33    Psc
Star.3     =      4, 00, 05, 42.0,  +13, 23, 46,  5.51,                G5III, 0x57F9F9D3,  86    Peg
Star.4     =      5, 00, 06, 16.0,  +58, 26, 12,  5.96,                  G5V, 0x34F9F9D3,           
Star.5     =      6, 00, 06, 19.0,  -49, 04, 30,  5.70,                 G1IV, 0x49F9F9D3,           
Star.6     =      7, 00, 06, 26.5,  +64, 11, 46,  5.59,                B9III, 0x51E8EAF8,  10    Cas
Star.7     =      8, 00, 06, 36.8,  +29, 01, 17,  6.13,                  K0V, 0x24FBF5CF,           
Star.8     =      9, 00, 06, 50.1,  -23, 06, 27,  6.18,                  A7V, 0x20E8F8E8,           
Star.9     =     10, 00, 07, 18.2,  -17, 23, 11,  6.19,                 A6Vn, 0x1FE8F8E8,           
Star.10    =     11, 00, 07, 44.1,  -02, 32, 56,  6.43,             B8IIIpSi, 0x07E8EAF8,           
Star.11    =     12, 00, 07, 46.8,  -22, 30, 32,  5.94,                A2Vp:, 0x35E8F8E8,           
Star.12    =     13, 00, 08, 03.5,  -33, 31, 46,  5.68,                K1III, 0x4BFBF5CF,           
Star.13    =     14, 00, 08, 12.1,  -02, 26, 52,  6.07,              K2III+F, 0x2AFBF5CF,           
Star.14    =     15, 00, 08, 23.3,  +29, 05, 26,  2.06,            B8IVpMnHg, 0xDDE8EAF8,  21Alp And
Star.15    =     16, 00, 08, 17.4,  -08, 49, 26,  5.99,                  gG8, 0x31E6E6E6,           
Star.16    =     17, 00, 08, 41.0,  +36, 37, 36,  6.19,                 F8IV, 0x1FF8F8E8,           
Star.17    =     18, 00, 08, 33.4,  -17, 34, 39,  6.06,                M0III, 0x2BF8EEE8,           
Star.18    =     19, 00, 08, 52.2,  +25, 27, 46,  6.23,                K0III, 0x1BFBF5CF,           
Star.19    =     20, 00, 09, 20.2,  +79, 42, 53,  6.01,                 A7IV, 0x2FE8F8E8,           
Star.20    =     21, 00, 09, 10.7,  +59, 08, 59,  2.27,             F2III-IV, 0xD9F8F8E8,  11Bet Cas
Star.21    =     22, 00, 09, 02.4,  +18, 12, 43,  5.53,                G9III, 0x56F9F9D3,  87    Peg
Star.22    =     23, 00, 09, 02.4,  -54, 00, 07,  6.33,                 G4IV, 0x11F9F9D3,           
Star.23    =     24, 00, 09, 21.0,  -27, 59, 16,  5.42,                  F2V, 0x5EF8F8E8,    Kap1Scl
Star.24    =     25, 00, 09, 24.7,  -45, 44, 51,  3.88,                K0III, 0xADFBF5CF,    Eps Phe
Star.25    =     26, 00, 10, 02.3,  +11, 08, 44,  5.51,                 B9Vn, 0x57E8EAF8,  34    Psc
Star.26    =     27, 00, 10, 19.3,  +46, 04, 20,  5.03,                 F2II, 0x77F8F8E8,  22    And
Star.27    =     28, 00, 10, 29.7,  +57, 09, 56,  6.74,                 B7IV, 0x00E8EAF8,           
Star.28    =     29, 00, 10, 18.8,  -05, 14, 55,  5.84,                K1III, 0x3EFBF5CF,           
Star.29    =     30, 00, 10, 02.1,  -82, 13, 26,  5.28,                G8III, 0x67F9F9D3,    Gam3Oct
Star.30    =     31, 00, 10, 42.8,  -12, 34, 48,  5.85,                 K0IV, 0x3DFBF5CF,           
Star.31    =     32, 00, 10, 38.6,  -73, 13, 28,  6.64,              F2V+F6V, 0x00F8F8E8,           
Star.32    =     33, 00, 11, 15.9,  -15, 28, 05,  4.89,                  F7V, 0x7FF8F8E8,   6    Cet
Star.33    =     34, 00, 11, 34.4,  -27, 47, 59,  5.41,                K5III, 0x5EFBF5CF,    Kap2Scl
Star.34    =     35, 00, 11, 44.0,  -35, 07, 59,  5.25,                  F4V, 0x69F8F8E8,    The Scl
Star.35    =     36, 00, 11, 59.1,  +48, 09, 09,  6.16,                  gK4, 0x22E6E6E6,           
Star.36    =     37, 00, 12, 10.0,  -17, 56, 18,  5.25,                K5III, 0x69FBF5CF,           
Star.37    =     38, 00, 12, 50.4,  +37, 41, 36,  6.73,                  B2V, 0x00E8EAF8,           
Star.38    =     39, 00, 13, 14.2,  +15, 11, 01,  2.83,                 B2IV, 0xCDE8EAF8,  88Gam Peg
Star.39    =     40, 00, 13, 24.0,  +26, 59, 14,  6.30,                G0III, 0x14F9F9D3,           
Star.40    =     41, 00, 13, 30.8,  +41, 02, 07,  5.72,                 F0IV, 0x47F8F8E8,  23    And
Star.41    =     42, 00, 13, 42.1,  -26, 01, 19,  5.94,                K5III, 0x35FBF5CF,           
Star.42    =     43, 00, 13, 44.2,  -26, 17, 05,  6.31,                K5III, 0x13FBF5CF,           
Star.43    =     44, 00, 14, 02.3,  +33, 12, 22,  6.25,                  A1V, 0x19E8F8E8,           
Star.44    =     45, 00, 14, 36.2,  +20, 12, 24,  4.80,               M2+III, 0x84F8EEE8,  89Chi Peg
Star.45    =     46, 00, 14, 27.6,  -07, 46, 50,  5.12,               M3+III, 0x71F8EEE8,           
Star.46    =     47, 00, 13, 19.4,  -84, 59, 39,  5.77,              M0-1III, 0x43F8EEE8,           
Star.47    =     48, 00, 14, 38.4,  -18, 55, 58,  4.44,                M3III, 0x96F8EEE8,   7    Cet
Star.48    =     49, 00, 14, 56.1,  +22, 17, 03,  6.24,                A1pSi, 0x1AE8F8E8,           
Star.49    =     50, 00, 14, 58.8,  +08, 49, 15,  5.79,                 F0IV, 0x42F8F8E8,  35    Psc
Star.50    =     51, 00, 14, 54.5,  -09, 34, 11,  5.75,                  B9V, 0x45E8EAF8,           
Star.51    =     52, 00, 15, 07.0,  +31, 32, 09,  6.45,                   K5, 0x05FBF5CF,           
Star.52    =     53, 00, 15, 10.6,  +27, 16, 59,  6.35,                 A1Vn, 0x0FE8F8E8,           
Star.53    =     54, 00, 14, 58.2,  -34, 54, 16,  6.17,                K3III, 0x21FBF5CF,           
Star.54    =     55, 00, 16, 14.0,  +76, 57, 03,  6.35,                B8Vnn, 0x0FE8EAF8,           
Star.55    =     56, 00, 16, 21.6,  +43, 35, 41,  6.15,               A2VpSi, 0x23E8F8E8,           
Star.56    =     57, 00, 16, 08.9,  -31, 26, 47,  5.67,                K5III, 0x4BFBF5CF,           
Star.57    =     58, 00, 15, 55.2,  -75, 54, 41,  6.49,             G8-K0III, 0x01F9F9D3,           
Star.58    =     59, 00, 16, 34.1,  +08, 14, 24,  6.11,             G8II-III, 0x26F9F9D3,  36    Psc
